slug,tier,text,image,todo,not_recoverable
anthrone-test,P2,skipped,n-a,нет,
barfoeds-test-monosaccharide,P2,skipped,n-a,нет,
bials-test,P2,skipped,n-a,нет,
clinical-tests-examination-trigeminal-nerve,P2,skipped,n-a,нет,
coordination-tests,P2,skipped,n-a,нет,
cranial-nerve-7-test,P2,skipped,n-a,нет,
creatinine-clearance-test,P2,skipped,n-a,нет,
determination-blood-urea-dam-method,P2,skipped,n-a,нет,
determination-plasma-protein-biuret-method,P2,skipped,n-a,нет,
dexamethasone-suppression-test,P2,skipped,n-a,нет,
differential-leukocyte-count-procedure,P2,skipped,n-a,нет,
finger-nose-test-procedure-video,P2,skipped,n-a,нет,
heel-to-shin-test-procedure,P2,skipped,n-a,нет,
iodine-test-starch,P2,skipped,n-a,нет,
lactate-dehydrogenase-test,P2,skipped,n-a,нет,
molischs-test-principle-reagent,P2,skipped,n-a,нет,
osazone-test-principle-procedure,P2,skipped,n-a,нет,
protein-free-filtrate-folin-wu-method,P2,skipped,n-a,нет,
rapid-alternating-movement-tests,P2,skipped,n-a,нет,
seliwanoffs-test-principle-procedure,P2,skipped,n-a,нет,
serum-bilirubin-test,P2,skipped,n-a,нет,
serum-cholesterol-test-cholesterol-oxidase-method,P2,skipped,n-a,нет,
serum-creatinine-test-jaffes-method,P2,skipped,n-a,нет,
sgot-test-uv-method,P2,skipped,n-a,нет,
taste-sensation-test,P2,skipped,n-a,нет,
ankle-patellar-clonus,P3,skipped,n-a,нет,
blood-collection,P3,skipped,n-a,нет,
clinical-examination-motor-system,P3,skipped,n-a,нет,
demonstrate-deep-tendon-reflexes-subject,P3,да,n-a,да,
demonstrate-power-different-muscles-subject,P3,да,да,нет,
demonstrate-superficial-reflexes-subject,P3,да,n-a,да,
examination-oculomotor-trochlear-abducent-nerves,P3,skipped,n-a,нет,
olfactory-sensations,P3,skipped,n-a,нет,
to-study-the-response-of-skin-to-blunt-injury-triple-response,P3,skipped,n-a,нет,
what-ph-meter-use,P3,skipped,n-a,нет,
